schema_version,instance_id,model_index,name,repo,requested_revision,resolved_revision,revision_resolution,repo_file_metadata,repo_metadata_error,prompt,max_new_tokens,fixed_preflight,truncation_risk,dtype,device,trust_remote_code,gate,selection_status,model_class,input_mode,status,success,exit_code,load_sec,page_latency_sec,doc_latency_sec,child_wall_sec,parent_wall_sec,peak_process_rss_bytes_child,peak_process_rss_bytes_parent_sampled,peak_process_rss_sampling_error,peak_cuda_allocated_bytes,peak_cuda_reserved_bytes,peak_vram_bytes_parent_sampled,peak_vram_sampling_error,raw_outputs,raw_output_bytes,raw_output_sha256,stdout_path,stdout_bytes,stdout_sha256,stderr_path,stderr_bytes,stderr_sha256,error,traceback
2.0,task_000909,1,PaddleOCR-VL-1.6,PaddlePaddle/PaddleOCR-VL-1.6,c5630abae1d940eafe0697512a0325494b02ab42,c5630abae1d940eafe0697512a0325494b02ab42,huggingface_api_confirmed_commit,"[{""blob_id"":""57e6759f2c21614b485d2308714b7fe16821120d"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":"".eval_results/real5_omnidocbench.yaml"",""size"":1418},{""blob_id"":""52373fe24473b1aa44333d318f578ae6bf04b49b"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":"".gitattributes"",""size"":1570},{""blob_id"":""0491a00e80b424eb709078b57e35d8b83ffee985"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""LICENSE"",""size"":11376},{""blob_id"":""58e9801f72ad5f992f0fc2e397ccf0fb014e5e5f"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""README.md"",""size"":21424},{""blob_id"":""6a2790e1462ecb007f9b92dfb00f594701462889"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""added_tokens.json"",""size"":25381},{""blob_id"":""d8b8c271d7a7245d4937098f53aa372cff3dba70"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""chat_template.jinja"",""size"":1474},{""blob_id"":""c54711466ae75457f8e57b909a49dae570bfa5c5"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""config.json"",""size"":2059},{""blob_id"":""a8fd139287293301b287db6dfdaac21d7ad1a236"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""configuration_paddleocr_vl.py"",""size"":8104},{""blob_id"":""ba87d71b9881c1d52f0be4286fb63e381ce3febf"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""generation_config.json"",""size"":133},{""blob_id"":""f7e28fd3c1971331581f73d573b9c4a2a4ce7a58"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""image_processing_paddleocr_vl.py"",""size"":25032},{""blob_id"":""93f88dfb31b6dbc3f529094ccfe26ddec98fa8ad"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""inference.yml"",""size"":43},{""blob_id"":""04667d00268d801a65293c1041e0fa4ad2ef573b"",""lfs_sha256"":""85a479d506a11e724e7285d395c551be69f41dbc16b6342d3cacfb189aed71db"",""lfs_size"":1917255968,""rfilename"":""model.safetensors"",""size"":1917255968},{""blob_id"":""693782514116586458b12cfd911c88d6565f552c"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""modeling_paddleocr_vl.py"",""size"":103889},{""blob_id"":""d873cd63d04d9e6243999759fc30f7752dab3222"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""preprocessor_config.json"",""size"":641},{""blob_id"":""73c3faeff201555fc7b52709848e3c669419dbb1"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""processing_paddleocr_vl.py"",""size"":12253},{""blob_id"":""033053ac4d8b5de2e47884ce85a6b4939cc58e87"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""processor_config.json"",""size"":137},{""blob_id"":""dcd70aaa8c9987899d7593995546d9c0cfc6a1f3"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""special_tokens_map.json"",""size"":1151},{""blob_id"":""e42528d5cae447340ed0a3e403001c88fe9b0f17"",""lfs_sha256"":""c8a215a59183d0d0781adc33bacd3ce6162716f7fd568fb30234a74d69803a7d"",""lfs_size"":11189060,""rfilename"":""tokenizer.json"",""size"":11189060},{""blob_id"":""81e33aa7fdb8ef76fceb1a69f1997021f3056770"",""lfs_sha256"":""34ef7db83df785924fb83d7b887b6e822a031c56e15cff40aaf9b982988180df"",""lfs_size"":1614363,""rfilename"":""tokenizer.model"",""size"":1614363},{""blob_id"":""cd9eb7da01a3209f4fb9b3561e04be022cd87764"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""tokenizer_config.json"",""size"":186947}]",,OCR:,512,True,possible: max_new_tokens=512 is a fixed comparable preflight ceiling; token-limit completion does not establish full-page coverage,float16,cuda:0,True,candidate,existing_candidate,AutoModelForImageTextToText,paddle_chat,failed,False,1,,[],,10.024717879000036,11.368734485999994,1115394048,1112231936,,0,0,106954752,,[],0,[],/kaggle/working/docinsights-hf-smoke-v2/logs/01-PaddleOCR-VL-1.6.stdout.txt,118,6bfd3cc1d3441b8947b549a9176a0c9f97697674eeaf4aae97ff96a8f9c84d2b,/kaggle/working/docinsights-hf-smoke-v2/logs/01-PaddleOCR-VL-1.6.stderr.txt,1687,621b7e42ce004dc57ccfcaff13d9bf14c6c20d9958977050fa7c489ecb1571c5,AttributeError: 'PaddleOCRVLConfig' object has no attribute 'text_config',"Traceback (most recent call last):
  File ""/kaggle/working/docinsights-hf-smoke-v2/runner-executed.py"", line 474, in child_run
    model = AutoModelForImageTextToText.from_pretrained(
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/dist-packages/transformers/models/auto/auto_factory.py"", line 406, in from_pretrained
    return model_class.from_pretrained(
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/dist-packages/transformers/modeling_utils.py"", line 4283, in from_pretrained
    model = cls(config, *model_args, **model_kwargs)
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/dist-packages/transformers/models/paddleocr_vl/modeling_paddleocr_vl.py"", line 1330, in __init__
    self.model = PaddleOCRVLModel(config)
                 ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/dist-packages/transformers/models/paddleocr_vl/modeling_paddleocr_vl.py"", line 997, in __init__
    self.language_model = PaddleOCRTextModel._from_config(config.text_config)
                                                          ^^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/dist-packages/transformers/configuration_utils.py"", line 436, in __getattribute__
    return super().__getattribute__(key)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'PaddleOCRVLConfig' object has no attribute 'text_config'. Did you mean: 'get_text_config'?
"
2.0,task_000909,2,GLM-OCR,zai-org/GLM-OCR,ca5d8b3e287e52589e37c28385d9655ee4372f9d,ca5d8b3e287e52589e37c28385d9655ee4372f9d,huggingface_api_confirmed_commit,"[{""blob_id"":""ff3401de97f415491b0fd674059823e3f8510a5e"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":"".eval_results/mdpbench.yaml"",""size"":4784},{""blob_id"":""7186fb2de9bf6b20f8fcb23bfcb31e1f7826c692"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":"".eval_results/olmocrbench.yaml"",""size"":1765},{""blob_id"":""a6344aac8c09253b3b630fb776ae94478aa0275b"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":"".gitattributes"",""size"":1519},{""blob_id"":""2dcab5a6ed326dd7db202569c79c2244654ca028"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""README.md"",""size"":8277},{""blob_id"":""8f3b7224cc22edcb813a59ca438efc92f15749a9"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""chat_template.jinja"",""size"":4606},{""blob_id"":""46fbd1c232b7d9d0fc261cf10361350ef3af02c3"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""config.json"",""size"":1570},{""blob_id"":""0de866e8cc29b4479b56bf68300da9353bc63a71"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""generation_config.json"",""size"":165},{""blob_id"":""409cd679485ac9f54da5d9fb8df8ad41d9f5db30"",""lfs_sha256"":""a16eb0de98d199293371c560f95f83130d2a2c9612449df16839f08ff9498815"",""lfs_size"":2650579464,""rfilename"":""model.safetensors"",""size"":2650579464},{""blob_id"":""308553695af766b3e3d05e68279d2c690e73273e"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""preprocessor_config.json"",""size"":367},{""blob_id"":""9f4a549a14a96217569648aa7627c6674ad94fe9"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""tokenizer.json"",""size"":6838609},{""blob_id"":""18f2106a5124ac945ee5526ac60fa75e09e97e11"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""tokenizer_config.json"",""size"":1066}]",,Text Recognition:,512,True,possible: max_new_tokens=512 is a fixed comparable preflight ceiling; token-limit completion does not establish full-page coverage,float16,cuda:0,False,diagnostic_gate_fail,not_selected_diagnostic_gate_fail,AutoModelForImageTextToText,glm_chat,succeeded,True,0,3.0922998229998484,"[28.479661551999925,25.909246819000145]",55.47661837199985,67.07069300399962,68.51842309499989,4360134656,4199813120,,6586189824,7302283264,7442792448,,"[{""bytes"":2247,""page"":1,""path"":""/kaggle/working/docinsights-hf-smoke-v2/raw/02-GLM-OCR-page-1.txt"",""sha256"":""21913fe73c52282cd30400b585068e915e04ad912f7cac22d07f1e3d0e5b1ee4""},{""bytes"":2024,""page"":2,""path"":""/kaggle/working/docinsights-hf-smoke-v2/raw/02-GLM-OCR-page-2.txt"",""sha256"":""035d36785dbe1a687a3208fed7630ab22fb3b1add6d8904fb3b20e8b701e1702""}]",4271,"[""21913fe73c52282cd30400b585068e915e04ad912f7cac22d07f1e3d0e5b1ee4"",""035d36785dbe1a687a3208fed7630ab22fb3b1add6d8904fb3b20e8b701e1702""]",/kaggle/working/docinsights-hf-smoke-v2/logs/02-GLM-OCR.stdout.txt,112,d1160aa4ed64d92d7c1a2b7ad3ce2ead62edb6a7c09d30da733a602ac01b44b6,/kaggle/working/docinsights-hf-smoke-v2/logs/02-GLM-OCR.stderr.txt,891,be5dff4e642aa86508b5678f10c43c5041af5000d4bf79bc92fbc7d5f2a6f577,,
2.0,task_000909,3,surya-ocr-2,datalab-to/surya-ocr-2,3b3d4cdf88d6928b0acdc75181b13206ea67c4a3,3b3d4cdf88d6928b0acdc75181b13206ea67c4a3,huggingface_api_confirmed_commit,"[{""blob_id"":""5ef1fb788bbb4e8d02cabd6da11568baacbf7f23"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":"".eval_results/olmocrbench.yaml"",""size"":1737},{""blob_id"":""e6d7475818426ecc612ea7b3e77bb2952786a3c0"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":"".gitattributes"",""size"":3048},{""blob_id"":""114d9aa9c42e0db91e5db467d48a27a2b42e22f3"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""LICENSE"",""size"":14744},{""blob_id"":""93e03ae2391ddda61320e5f0a979bd2ba5062f99"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""README.md"",""size"":22524},{""blob_id"":""3d62dac9ff7bf18a45a69766fe292a2d6b765a2d"",""lfs_sha256"":""03e5004c5ee8b24c09d81c6b735ff057038d58e3e87d09a5aac68ce1fcd09249"",""lfs_size"":168157,""rfilename"":""assets/corporate.png"",""size"":168157},{""blob_id"":""642123c173a98b018eaf02bb3a6033a8fd35be66"",""lfs_sha256"":""c472d16817b87a322f40b31f3689209d729d56e82418558b0185060dfe3d5a2b"",""lfs_size"":167382,""rfilename"":""assets/corporate_layout.png"",""size"":167382},{""blob_id"":""061b975b5e739792660acccab2d95383aae76866"",""lfs_sha256"":""fa9471e99827a94aa4d6889e05880ff920cca195d8ddd66192e02242fcdedf30"",""lfs_size"":168207,""rfilename"":""assets/corporate_reading.png"",""size"":168207},{""blob_id"":""050fe3ced3a5a5d92d043fde821ea35084d27c10"",""lfs_sha256"":""c1861b87e15f50bad581b46e82b9a38f85b74900d1fdb9088fe780698b57a493"",""lfs_size"":163055,""rfilename"":""assets/corporate_tablerec.png"",""size"":163055},{""blob_id"":""d321a3520902a4122ee0dd465db07ec075af70dd"",""lfs_sha256"":""893c5924fe66740b77a73afeb0d41f4139814f6cbaed2850e4743793b380b99c"",""lfs_size"":166239,""rfilename"":""assets/corporate_text.png"",""size"":166239},{""blob_id"":""81ae8209b5d3fb6356a57c97f52ca4823be41434"",""lfs_sha256"":""9d1913fc79fb9bea3e632622c9d2064a4c60485fbfaba2e67cfb48c2668ad149"",""lfs_size"":338806,""rfilename"":""assets/excerpt.png"",""size"":338806},{""blob_id"":""bfaf6851756ffb192e5b082ddf7e6147c7414184"",""lfs_sha256"":""924b81dba774c3c66ae09f6874334a3bcdcca75b330179fb1854964f262b15a7"",""lfs_size"":345370,""rfilename"":""assets/excerpt_layout.png"",""size"":345370},{""blob_id"":""b6b3b00e9bbda84302d68be5d658e2fcfb50e39c"",""lfs_sha256"":""baddec3a08b69949d737f6ec3322bb70a37cf9acb6681c91ff41a9c2f1f23965"",""lfs_size"":542562,""rfilename"":""assets/excerpt_text.png"",""size"":542562},{""blob_id"":""4ae526128c3608b1d9d90128d240a27a796b8da1"",""lfs_sha256"":""60fb6bfde4d790cf5c97c11bc8697746e3a49fd6004325d8c25aa3ce1600edc5"",""lfs_size"":513328,""rfilename"":""assets/form.png"",""size"":513328},{""blob_id"":""8586a29945341f4dd059846bba0870bbebf4e215"",""lfs_sha256"":""631c09dc21bd05a1a81d981fd33ad6f5d0830d3e750bfae189a355fe4509dff9"",""lfs_size"":508013,""rfilename"":""assets/form_layout.png"",""size"":508013},{""blob_id"":""2d03b40e20b1788236239c22dd3bd6faec8d221d"",""lfs_sha256"":""e88bac7fb15d375be5d4f115b3558007398952b3bd4cd03ebd84a567be6867a9"",""lfs_size"":518714,""rfilename"":""assets/form_reading.png"",""size"":518714},{""blob_id"":""18f3b7b6ffccc41b3d7a06b9086df3f63999d9b0"",""lfs_sha256"":""d799c78d495c19cf6e68e73b48459a16331eb80bc569540e17471f29ab4a7a4f"",""lfs_size"":511462,""rfilename"":""assets/form_tablerec.png"",""size"":511462},{""blob_id"":""eb8e772592e9f660b7cae84976968fc616ae2205"",""lfs_sha256"":""7c40b723392652b65ab18be779bcb9b6396e65f718b9bdea1071e26e543c67b1"",""lfs_size"":329540,""rfilename"":""assets/form_text.png"",""size"":329540},{""blob_id"":""4ef3a3aa60ca617e295ab4b1e63e858955ca3c18"",""lfs_sha256"":""3c7623a26db006f332d7db8e5c0e21861311352622502698abe8b689c8ab3421"",""lfs_size"":178490,""rfilename"":""assets/handwritten.png"",""size"":178490},{""blob_id"":""ad9dc38c6339af823eab1b819f76e2390154f474"",""lfs_sha256"":""ad0e4ae387b843bda64b51e132b1e5ea8003b5ad49aeddafe9681a0968cd51d7"",""lfs_size"":184720,""rfilename"":""assets/handwritten_layout.png"",""size"":184720},{""blob_id"":""705206c2b5dd1aa8db7575777c1b6457eadb5126"",""lfs_sha256"":""5cc6662224cacbb0a26c7890aedffeffa7d12a4592115737c7104fa661b058ac"",""lfs_size"":185368,""rfilename"":""assets/handwritten_reading.png"",""size"":185368},{""blob_id"":""8279391eb6161614ad1e4c523275c51dd05c19c7"",""lfs_sha256"":""5e3f7820dc76b4480afe350fa4b7263b87e15615109cae40b3c591d0b5be5785"",""lfs_size"":171171,""rfilename"":""assets/handwritten_tablerec.png"",""size"":171171},{""blob_id"":""33477c8bc7d56ae27b15c2d00af162d4de705e7a"",""lfs_sha256"":""9686cfab491a74085e70957093bd381b6202a1311269ebd18e210982cd2cf4ab"",""lfs_size"":298492,""rfilename"":""assets/handwritten_text.png"",""size"":298492},{""blob_id"":""7aca945907879bd20571e4c6e58da310e351acdf"",""lfs_sha256"":""1a07a43797b78ffa8db5b4d11e7c2668d58d38a94cfa81a6cdd8d50750b62b9e"",""lfs_size"":5647219,""rfilename"":""assets/newspaper.png"",""size"":5647219},{""blob_id"":""f78dd2bf4a8176a628663b4cabbe80b0e0e1eeea"",""lfs_sha256"":""139c8fd411526b85d2ff600a1912874ae5f23f6d77c1ec3d9319b73a64dd2e7e"",""lfs_size"":5600156,""rfilename"":""assets/newspaper_layout.png"",""size"":5600156},{""blob_id"":""411b756493ec65ec5ed27cda008b4c78a20dd5c0"",""lfs_sha256"":""c18c2eb0c39de94267f11bd97091b6542f130dd05a93142a5e5f007b9a435253"",""lfs_size"":5649385,""rfilename"":""assets/newspaper_reading.png"",""size"":5649385},{""blob_id"":""779faed1fa3f61a858d4dec79e06b1c7d4117cec"",""lfs_sha256"":""364de91c602c902faf13c33628192efbeb1a28fc1b853265563f7946fddbb271"",""lfs_size"":1880345,""rfilename"":""assets/newspaper_text.png"",""size"":1880345},{""blob_id"":""64e7636584f3ba9b3e7098cb2873ccad8d119094"",""lfs_sha256"":""34addebba2311e061b04ba04dc6a4231a31d4ef3ca0193d908a291bbf72fb528"",""lfs_size"":82455,""rfilename"":""assets/olmocr_size_chart.png"",""size"":82455},{""blob_id"":""a249f292ee5b098be005a3722785908f8f230dd1"",""lfs_sha256"":""86091b59d376bb658e331eb9abd3d32fd214b822eafc994685712db968f48147"",""lfs_size"":345455,""rfilename"":""assets/scanned_tablerec.png"",""size"":345455},{""blob_id"":""0555f57f788379f23bbcb2a5ad9cafe3e9d6f3bb"",""lfs_sha256"":""0070c7f61aae00201f9764bf4a01d6c8ab301718f9f9c62522b9eb24ae0890f7"",""lfs_size"":193115,""rfilename"":""assets/textbook.png"",""size"":193115},{""blob_id"":""a3496c70f9276c7e9a44fff4e6031f51f4be7f43"",""lfs_sha256"":""2711fcd2183f9397306817c083a9377134647ab11521293732031e0e780571da"",""lfs_size"":194919,""rfilename"":""assets/textbook_layout.png"",""size"":194919},{""blob_id"":""77fea183706a70b5257a4e8f3190b69452339bf5"",""lfs_sha256"":""81d14c7a6d77872fc21a2743f03b7ce4124f6301c97aa7e6de425b73396d2259"",""lfs_size"":200789,""rfilename"":""assets/textbook_reading.png"",""size"":200789},{""blob_id"":""2f63345e292684a9794f11200fbe49196ba0a232"",""lfs_sha256"":""7950d981fdf94b499d27db1bfad4e62aaf139ba7be44f88bbe1d411729c10d8f"",""lfs_size"":225651,""rfilename"":""assets/textbook_text.png"",""size"":225651},{""blob_id"":""2ccb3df40d2a711a4fc27d43df06c9a9791b3f8f"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""chat_template.jinja"",""size"":2872},{""blob_id"":""a7172fe8c10cf7a50a8a592e628c9a574f06585b"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""config.json"",""size"":2582},{""blob_id"":""c32033cb18944d41982300f0fee319867e4ed425"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""datalab-logo.png"",""size"":6169},{""blob_id"":""e34176204f8f228957868ead00c940a270bbc233"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""generation_config.json"",""size"":131},{""blob_id"":""f89db169e56d0ae8c725d758a1ac0afaa0d95bb8"",""lfs_sha256"":""5755f82a997dd0b111964fa8b31cc2daef7aeb7a706bbd17d73d6a93ef3f723e"",""lfs_size"":1372368672,""rfilename"":""model.safetensors"",""size"":1372368672},{""blob_id"":""be0d97d66db8dcf3e2af39c4eea4fb204b79efa5"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""preprocessor_config.json"",""size"":482},{""blob_id"":""331fb318bde7ed7a2626237a262ec7fcd7591b45"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""processor_config.json"",""size"":1301},{""blob_id"":""127411622065794968b859355f463ab99257c031"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""tokenizer.json"",""size"":1656690},{""blob_id"":""ab044b3b97c36149a2b7bbe3638898cbea460e19"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""tokenizer_config.json"",""size"":571},{""blob_id"":""390c81a9c3712dd9b3b1b0ec9fd158bcbbc05d85"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""video_preprocessor_config.json"",""size"":615}]",,"OCR this image to HTML. Each block is a div with data-label and data-bbox (x0 y0 x1 y1, normalized 0-1000).",512,True,possible: max_new_tokens=512 is a fixed comparable preflight ceiling; token-limit completion does not establish full-page coverage,float16,cuda:0,False,candidate,existing_candidate,AutoModelForImageTextToText,surya_chat,succeeded,True,0,1.8646921310000835,"[23.538024039999982,22.692169295999975]",47.02600554599985,57.873091613999804,59.30074669299984,3020025856,2859540480,,2900749312,3158310912,3298820096,,"[{""bytes"":730,""page"":1,""path"":""/kaggle/working/docinsights-hf-smoke-v2/raw/03-surya-ocr-2-page-1.txt"",""sha256"":""79c43d8c564ac39658ce4e5cc055401fa7b0883c04b22963e488192318dd5b84""},{""bytes"":603,""page"":2,""path"":""/kaggle/working/docinsights-hf-smoke-v2/raw/03-surya-ocr-2-page-2.txt"",""sha256"":""5dff01f22d441df1091a6416c2a1808fbe6e30bc5fe25e99f13babf93747d7c5""}]",1333,"[""79c43d8c564ac39658ce4e5cc055401fa7b0883c04b22963e488192318dd5b84"",""5dff01f22d441df1091a6416c2a1808fbe6e30bc5fe25e99f13babf93747d7c5""]",/kaggle/working/docinsights-hf-smoke-v2/logs/03-surya-ocr-2.stdout.txt,116,4359e89f1f430ceda01c0216ee3e5d54b5cce77da9d3bd2192508af078676c86,/kaggle/working/docinsights-hf-smoke-v2/logs/03-surya-ocr-2.stderr.txt,1107,dddc97f8608433853a3c7948064c06c4578f6d8c71eb28f558aa2eeebbb0d4cd,,
2.0,task_000909,4,granite-docling-258M,ibm-granite/granite-docling-258M,982fe3b40f2fa73c365bdb1bcacf6c81b7184bfe,982fe3b40f2fa73c365bdb1bcacf6c81b7184bfe,huggingface_api_confirmed_commit,"[{""blob_id"":""c76042c46155b351d6ebec65be41e160988f4742"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":"".gitattributes"",""size"":1706},{""blob_id"":""9ca91f891770e0e507bee3f299c01a9d72ae1775"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""README.md"",""size"":21039},{""blob_id"":""2895b6710d6bb8d5e7cc5d1137d79eff8ad06df2"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""added_tokens.json"",""size"":35},{""blob_id"":""5d5e96677dc13b8699410a83daecc2fb7080a617"",""lfs_sha256"":""a1bd51ff1cea9daabc7f00522c7cc4b5905fa5cd3f67c40d0d707ee0686ce94b"",""lfs_size"":2321944,""rfilename"":""assets/granite_docling_split_page.png"",""size"":2321944},{""blob_id"":""646637ffb3a800fd2eb146519eb12fd37630c279"",""lfs_sha256"":""15e72aca956d9e796788eaa4b0debb9ae988ca7a9637ae3b6df1e6ce671d73d0"",""lfs_size"":523477,""rfilename"":""assets/new_arxiv.png"",""size"":523477},{""blob_id"":""3b66e93d4b31ff6ba4fbea744407c43bad179212"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""chat_template.jinja"",""size"":588},{""blob_id"":""6a652f5b56550a9291c6a6bb019ade3744a8c8bb"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""config.json"",""size"":1641},{""blob_id"":""172b1f940804da1f6d8b8c2a807e0f3163122211"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""generation_config.json"",""size"":169},{""blob_id"":""e01f92aabcd2ff0c12e418e1ed3c28f825e4459a"",""lfs_sha256"":""f4d43939df541ab6958e989e7a6761a8db1ccb484dcb0c2749fedbb1357d2bb8"",""lfs_size"":2185867,""rfilename"":""granite_docling.png"",""size"":2185867},{""blob_id"":""354558edcdbd64ca7abd407b8be3d5d09d39d781"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""merges.txt"",""size"":916646},{""blob_id"":""d27772b891988931a1a43a3bb962c6f91c69b371"",""lfs_sha256"":""1cdad234deb1cde18ee6a586f849057f19851daf1fedce2e40aff791dbe46f61"",""lfs_size"":515093104,""rfilename"":""model.safetensors"",""size"":515093104},{""blob_id"":""893236748032d4bf033823d6a4a0d62b78b6bc0e"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""preprocessor_config.json"",""size"":486},{""blob_id"":""b3b1deadd0e6e18c2070fdb0c29074892ea58ffe"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""processor_config.json"",""size"":68},{""blob_id"":""e8e87b5f11beb05b0c8205811fc65d27d895ccc0"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""special_tokens_map.json"",""size"":812},{""blob_id"":""d3eef61ed03b4b5f9a18bbd7c330a0ef7e5de02e"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""tokenizer.json"",""size"":7153134},{""blob_id"":""1b20bc7d876f053bf0bc1ef0fb25ef24e1ef6a61"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""tokenizer_config.json"",""size"":17774},{""blob_id"":""07fe068601babcefc22b1f9ce254ed0eede3d7fd"",""lfs_sha256"":null,""lfs_size"":null,""rfilename"":""vocab.json"",""size"":1612698}]",,Convert this page to DocTags.,512,True,possible: max_new_tokens=512 is a fixed comparable preflight ceiling; token-limit completion does not establish full-page coverage,float16,cuda:0,False,candidate,existing_candidate,AutoModelForImageTextToText,docling_chat,succeeded,True,0,1.7478552319998926,"[177.13072688700004,176.28130550600008]",354.49694065899985,364.70791190299997,366.09149936899985,2369581056,2262228992,,890579456,983564288,1124073472,,"[{""bytes"":512,""page"":1,""path"":""/kaggle/working/docinsights-hf-smoke-v2/raw/04-granite-docling-258M-page-1.txt"",""sha256"":""aeb1da71a4ab6e3c659da3f13cfe8d51afefd31365cee129668ff91002a71a86""},{""bytes"":512,""page"":2,""path"":""/kaggle/working/docinsights-hf-smoke-v2/raw/04-granite-docling-258M-page-2.txt"",""sha256"":""aeb1da71a4ab6e3c659da3f13cfe8d51afefd31365cee129668ff91002a71a86""}]",1024,"[""aeb1da71a4ab6e3c659da3f13cfe8d51afefd31365cee129668ff91002a71a86"",""aeb1da71a4ab6e3c659da3f13cfe8d51afefd31365cee129668ff91002a71a86""]",/kaggle/working/docinsights-hf-smoke-v2/logs/04-granite-docling-258M.stdout.txt,125,1b4cb4ec95592a4abcad8c9508717730a3a3185557b95d7649ff80c4814cc246,/kaggle/working/docinsights-hf-smoke-v2/logs/04-granite-docling-258M.stderr.txt,700,a041d4872f7e94e4e1af9875032f284388a604acf0c2c50882ed2abd86c587f6,,
