split,engine,pages,failed_pages,id_reference_occurrences,id_precision,id_recall,id_f1,id_page_macro_f1,numeric_reference_occurrences,numeric_precision,numeric_recall,numeric_f1,numeric_page_macro_f1,cer,wer,body_eligible_regions,id_eligible_regions,numeric_eligible_regions,reference_characters,reference_words,median_success_seconds,p95_success_seconds,boundary_crossing_exclusion_incidences
heldout,native-paddle-ppocrv5-mobile,40,0,191,0.7912087912087912,0.7539267015706806,0.7721179624664879,0.7291762461697102,1028,0.9481327800829875,0.8891050583657587,0.9176706827309237,0.9027529397591741,0.039147026755011326,0.07659057138997703,28,49,80,47692,7403,42.32159324999884,46.81508424999993,158
heldout,apple-vision-accurate,40,0,191,0.6590909090909091,0.6073298429319371,0.6321525885558583,0.5962016964858681,1028,0.9260355029585798,0.9134241245136187,0.9196865817825661,0.9135934043787647,0.08464732030529229,0.11630420099959476,28,49,80,47692,7403,1.0115758958327206,1.3756030416661815,114
heldout,rapidocr-ppocrv5-onnx,40,0,191,0.5,0.225130890052356,0.3104693140794224,0.28705123852182673,1028,0.8464788732394366,0.5846303501945526,0.6915995397008056,0.6802249661919011,0.22406273588861864,0.3321626367688775,28,49,80,47692,7403,9.205563083000015,14.878190667001036,162
train,native-paddle-ppocrv5-mobile,20,0,227,1.0,0.9779735682819384,0.9888641425389755,0.9874727668845316,333,1.0,1.0,1.0,1.0,0.023907536415452818,0.042224510813594233,35,60,55,25264,3884,23.20452283299892,28.402397207999456,118
train,apple-vision-accurate,20,0,227,1.0,1.0,1.0,1.0,333,1.0,1.0,1.0,1.0,0.029844838505383154,0.04969104016477858,35,60,55,25264,3884,0.68546006249926,0.814431249997142,92
train,rapidocr-ppocrv5-onnx,20,0,227,0.95,0.920704845814978,0.9351230425055929,0.9336208910914793,333,1.0,1.0,1.0,1.0,0.021572197593413552,0.03836251287332647,35,60,55,25264,3884,7.57986122949842,10.243088832998183,124
pooled,native-paddle-ppocrv5-mobile,60,0,418,0.905940594059406,0.8755980861244019,0.8905109489051095,0.839089659239847,1361,0.961449498843485,0.9162380602498164,0.9382994732881866,0.9381155071194744,0.03386972970009321,0.06476477363338354,63,109,135,72956,11287,38.69413091649949,46.60052445800102,276
pooled,apple-vision-accurate,60,0,418,0.8511166253101737,0.8205741626794258,0.8355663824604141,0.7680307618110306,1361,0.9443207126948775,0.9346069066862601,0.9394387001477105,0.9450139846046685,0.06566971873457975,0.09338176663418092,63,109,135,72956,11287,0.8602184791670879,1.3522107916687673,206
pooled,rapidocr-ppocrv5-onnx,60,0,418,0.8235294117647058,0.6028708133971292,0.6961325966850829,0.5621872608918916,1361,0.8954937679769894,0.6862601028655401,0.7770382695507487,0.7965067966675734,0.1539421020889303,0.23106228404358997,63,109,135,72956,11287,8.876738354001645,13.865556083997944,286
